season,player_id,display_name,carries,bucket,tier_current,tier_score_current,games_current,ppg_current,pts_current,games_next_eff,ppg_next_eff,pts_next_eff,vanished
2003,00-0020471,Travis Henry,332,300+,Star,3,15.0,15.673333333333334,235.1,9.0,5.233333333333333,47.1,False
2003,00-0019516,Troy Hambrick,275,250-299,Mid/replacement,1,16.0,9.25625,148.1,9.0,5.1,45.9,False
2004,00-0019647,Shaun Alexander,353,300+,League Winner,5,16.0,20.175,322.8,16.0,23.55,376.8,False
2004,00-0020536,LaDainian Tomlinson,339,300+,League Winner,5,15.0,22.27466666666667,334.12,16.0,22.8925,366.28,False
2004,00-0000745,Tiki Barber,322,300+,League Winner,5,16.0,21.725,347.6,16.0,22.4625,359.4,False
2004,00-0008241,Edgerrin James,334,300+,League Winner,5,16.0,19.14375,306.3,15.0,20.686666666666667,310.3,False
2004,00-0021179,Clinton Portis,343,300+,Star,3,15.0,15.573333333333332,233.6,16.0,16.9925,271.88,False
2004,00-0020407,Rudi Johnson,362,300+,Star,3,16.0,14.56875,233.1,16.0,15.6125,249.8,False
2004,00-0004640,Warrick Dunn,265,250-299,Star,3,16.0,13.68125,218.9,16.0,13.4125,214.6,False
2004,00-0019610,Reuben Droughns,275,250-299,Star,3,15.0,14.806666666666668,222.1,16.0,13.06875,209.1,False
2004,00-0021979,Domanick Williams,301,300+,League Winner,5,15.0,21.506666666666668,322.6,11.0,18.572727272727278,204.3,False
2004,00-0022178,Willis McGahee,284,250-299,Star,3,15.0,15.046666666666663,225.7,16.0,12.40625,198.5,False
2004,00-0004304,Corey Dillon,345,300+,Superstar,4,15.0,17.4,261.0,11.0,17.21818181818182,189.4,False
2004,00-0010442,Curtis Martin,371,300+,League Winner,5,16.0,19.95,319.2,12.0,11.441666666666668,137.3,False
2004,00-0016098,Fred Taylor,260,250-299,Star,3,14.0,14.778571428571428,206.9,11.0,10.727272727272728,118.0,False
2004,00-0001215,Jerome Bettis,250,250-299,Star,3,14.0,13.364285714285714,187.1,12.0,8.233333333333333,98.8,False
2004,00-0020527,Deuce McAllister,269,250-299,Star,3,14.0,15.014285714285714,210.2,5.0,16.04,80.2,False
2004,00-0006305,Ahman Green,259,250-299,Star,3,15.0,15.24,228.6,5.0,11.84,59.2,False
