coach,team,start,end,n_seasons,avg_off_pctile,n_distinct_qbs,qb_list
Dom Capers,HOU,2002,2005,4,0.2890625,1,David Carr (4yr)
Don Breaux,WAS,2004,2006,3,0.5104166666666666,1,Mark Brunell (3yr)
Doug Marrone,BUF,2013,2014,2,0.234375,2,Kyle Orton (1yr); EJ Manuel (1yr)
Doug Marrone,JAX,2016,2020,5,0.3,3,Mike Glennon (1yr); Blake Bortles (3yr); Gardner Minshew (1yr)
Doug Marrone,NO,2006,2008,3,0.8854166666666666,1,Drew Brees (3yr)
Doug Nussmeier,NO,2025,2025,1,0.1875,1,Tyler Shough (1yr)
Doug Pederson,JAX,2022,2024,3,0.5520833333333334,1,Trevor Lawrence (3yr)
Doug Pederson,KC,2013,2015,3,0.6979166666666666,1,Alex Smith (3yr)
Doug Pederson,PHI,2016,2020,5,0.4875,1,Carson Wentz (5yr)
Dowell Loggains,CHI,2016,2017,2,0.265625,2,Matt Barkley (1yr); Mitch Trubisky (1yr)
Dowell Loggains,MIA,2018,2018,1,0.15625,1,Ryan Tannehill (1yr)
Dowell Loggains,NYJ,2019,2020,2,0.03125,1,Sam Darnold (2yr)
Dowell Loggains,TEN,2012,2013,2,0.359375,2,Ryan Fitzpatrick (1yr); Jake Locker (1yr)
Drew Petzing,ARI,2023,2025,3,0.4479166666666667,3,Jacoby Brissett (1yr); Joshua Dobbs (1yr); Kyler Murray (1yr)
Eddie Faulkner,PIT,2023,2023,1,0.3125,1,Kenny Pickett (1yr)
Edgar Bennett,GB,2015,2017,3,0.6979166666666666,2,Aaron Rodgers (2yr); Brett Hundley (1yr)
Emmitt Thomas,ATL,2007,2007,1,0.0625,1,Joey Harrington (1yr)
Eric Bieniemy,KC,2018,2022,5,0.975,1,Patrick Mahomes (5yr)
Eric Bieniemy,WAS,2023,2023,1,0.25,1,Sam Howell (1yr)
Eric Mangini,CLE,2009,2010,2,0.203125,2,Brady Quinn (1yr); Colt McCoy (1yr)
Eric Mangini,NYJ,2006,2008,3,0.5104166666666666,2,Brett Favre (1yr); Chad Pennington (2yr)
Eric Studesville,MIA,2021,2021,1,0.34375,1,Tua Tagovailoa (1yr)
Frank Reich,IND,2018,2021,4,0.6328125,4,Philip Rivers (1yr); Andrew Luck (1yr); Carson Wentz (1yr); Jacoby Brissett (1yr)
Frank Reich,LAC,2014,2015,2,0.578125,1,Philip Rivers (2yr)
Frank Reich,PHI,2016,2017,2,0.609375,1,Carson Wentz (2yr)
Frank Reich; fired on November 27,CAR,2023,2023,1,0.125,1,Bryce Young (1yr)
Frank Smith,MIA,2022,2025,4,0.578125,1,Tua Tagovailoa (4yr)
Freddie Kitchens,CLE,2018,2019,2,0.390625,1,Baker Mayfield (2yr)
Freddie Kitchens,NYG,2021,2021,1,0.03125,1,Daniel Jones (1yr)
Gary Kubiak,BAL,2014,2014,1,0.8125,1,Joe Flacco (1yr)
Gary Kubiak,DEN,2001,2005,5,0.771774193548387,2,Brian Griese (2yr); Jake Plummer (3yr)
