coach,n_qbs,avg_raw_delta,avg_resid_delta,t_resid,p_resid
Matt Rhule,2,-0.1333333333333333,-0.21132841525761548,-9.11497818360587,0.06956504895494868
Adam Gase,4,-0.1733168230459057,-0.2117174793024822,-4.333102859990823,0.022672254818655903
Freddie Kitchens,2,-0.28489583333333335,-0.2152153235605164,-1.777682846711892,0.3262117880941529
Mike Tomlin,4,-0.1787016369047619,-0.21525213719255543,-1.977561792637963,0.1423947599997408
Curtis Modkins,2,-0.20758928571428573,-0.221340388403304,-0.8784748439218437,0.541127863148164
Alex Van Pelt,5,-0.22541666666666665,-0.23193227036139255,-1.3328138228591404,0.2534436269535564
Sherman Lewis,2,-0.23928931451612906,-0.23561869291214038,-0.9162010950371409,0.527822794840462
Bill Muir,4,-0.21789314516129035,-0.23768584876910642,-2.1579787881198054,0.11980349913977739
Dave Ragone,2,-0.17857142857142855,-0.24065518474413716,-1.1116372378558514,0.466374731013099
Chuck Pagano,3,-0.2526489695340502,-0.24406686510505846,-1.1893321049626397,0.35636612469796586
Jedd Fisch,3,-0.3098958333333333,-0.2587203022087267,-2.53449185761764,0.12674562556717
Gus Bradley,2,-0.3046875,-0.2698263589686696,-1.6784782994022154,0.3420616032844967
Zac Taylor,2,-0.23279671717171715,-0.2703900253009794,-1.8251804463020296,0.3190882178634231
Norm Chow,2,-0.3654233870967742,-0.29874946895199794,-1.2266093172731856,0.4354314392539167
Steve Spagnuolo,3,-0.34750839438339437,-0.303287510482507,-2.9366565016639345,0.09903045171842437
Dave McGinnis,2,-0.3626512096774194,-0.31354580162212475,-3.529775808850844,0.17575160086723152
Bobby Petrino,2,-0.2799395161290323,-0.31882336179764104,-2.308402528897772,0.2602473477965234
Scott Turner,2,-0.3293269230769231,-0.4597680527562963,-16.151810967960902,0.03936451561759785
Rob Boras,2,-0.6197916666666666,-0.6485511830858697,-2.1817337020895566,0.27360450111362483
