coach,qb_id,qb_name,n_with,raw_with,resid_with,n_elsewhere,raw_elsewhere,resid_elsewhere,raw_delta,resid_delta
Bruce Arians,00-0021429,Carson Palmer,4,0.4765625,-0.07373624318373483,8,0.578125,0.04429825439606749,-0.1015625,-0.1180344975798023
Bruce Arians,00-0022924,Ben Roethlisberger,5,0.7,0.1505750863153557,12,0.703125,0.17299850252628435,-0.0031250000000000444,-0.022423416210928637
Bruce Arians,00-0029668,Andrew Luck,1,0.625,0.3051535572249226,4,0.703125,0.18460426929298332,-0.078125,0.12054928793193928
Bruce Arians,00-0031503,Jameis Winston,1,0.46875,-0.0761464853153587,6,0.4427083333333333,-0.0399653451156922,0.026041666666666685,-0.0361811401996665
Bruce Coslet,00-0020562,Chad Hutchinson,1,0.09375,-0.2260964427750773,1,0.03125,-0.4718479543666405,0.0625,0.24575151159156322
Butch Davis,00-0003535,Tim Couch,1,0.1290322580645161,-0.3740656963021244,2,0.34375,-0.19252312745030606,-0.2147177419354839,-0.18154256885181833
Byron Leftwich,00-0019596,Tom Brady,3,0.7604166666666666,0.1328125,18,0.8327732974910395,0.2678016013286586,-0.07235663082437283,-0.1349891013286586
Byron Leftwich,00-0031503,Jameis Winston,1,0.46875,-0.0761464853153587,6,0.4427083333333333,-0.0399653451156922,0.026041666666666685,-0.0361811401996665
Cam Cameron,00-0020531,Drew Brees,4,0.7421875,0.23406783496118608,15,0.875,0.2949244306818795,-0.1328125,-0.060856595720693435
Cam Cameron,00-0022942,Philip Rivers,1,0.96875,0.4656520456333595,14,0.7544642857142857,0.18905050786353472,0.2142857142857143,0.27660153776982477
Cam Cameron,00-0026158,Joe Flacco,5,0.6375,0.16703497941393336,8,0.36328125,-0.20009617298068832,0.27421874999999996,0.3671311523946217
Carl Smith,00-0021231,David Garrard,1,0.75,0.2051035146846412,4,0.6640625,0.1043875043682958,0.0859375,0.10071601031634539
Carl Smith,00-0022177,Byron Leftwich,1,0.71875,0.2156520456333595,2,0.5,0.11165955316845991,0.21875,0.10399249246489958
Chad O'Shea,00-0023682,Ryan Fitzpatrick,1,0.21875,-0.3354482922201138,9,0.3506944444444444,-0.19009062652734648,-0.13194444444444442,-0.1453576656927673
Chan Gailey,00-0005180,Jay Fiedler,1,0.6451612903225806,0.0597611077297626,3,0.4949596774193548,-0.05595202994177396,0.1502016129032258,0.11571313767153656
Chan Gailey,00-0023682,Ryan Fitzpatrick,5,0.4,-0.14220765880403688,5,0.275,-0.26704512738920955,0.125,0.12483746858517267
Chan Gailey,00-0036212,Tua Tagovailoa,1,0.46875,0.1489035572249226,5,0.53125,0.020769448234603527,-0.0625,0.12813410899031907
Charlie Weis,00-0019596,Tom Brady,4,0.6224798387096774,0.1143601736708635,17,0.8694852941176471,0.2800838605430824,-0.2470054554079697,-0.1657236868722189
Charlie Weis,00-0023662,Matt Cassel,1,0.6875,0.1675759013282732,5,0.31875,-0.23760519251660717,0.36875,0.4051810938448804
Chip Kelly,00-0026898,Mark Sanchez,1,0.59375,0.0738259013282732,4,0.3125,-0.13935715440374355,0.28125,0.21318305573201674
Chip Kelly,00-0027974,Colin Kaepernick,1,0.0625,-0.4574240986717267,2,0.53125,0.015876138024053042,-0.46875,-0.4733002366957797
Chip Kelly,00-0029567,Nick Foles,1,0.90625,0.4494155491119971,1,0.03125,-0.4963997695852534,0.875,0.9458153186972504
