season,team,games,total_points,ppg,plays,total_epa,mean_epa,total_yards,games_est,yards_per_game,epa_per_play
2008,MIA,16,345.0,21.5625,964,80.70097611704705,0.0837147055156089,5534.0,16,345.875,0.0837147055156089
2008,MIN,16,379.0,23.6875,1041,-41.38758875442137,-0.0397575300234595,5298.0,16,331.125,-0.0397575300234595
2008,NE,16,410.0,25.625,1095,114.01324413136616,0.1041216841382339,5878.0,16,367.375,0.1041216841382339
2008,NO,16,463.0,28.9375,1064,124.0326007344904,0.1165719931715135,6580.0,16,411.25,0.1165719931715135
2008,NYG,16,427.0,26.6875,1054,97.41071391287038,0.0924200321753988,5718.0,16,357.375,0.0924200321753988
2008,NYJ,16,405.0,25.3125,1013,36.528375443649125,0.036059600635389,5317.0,16,332.3125,0.036059600635389
2008,PHI,16,416.0,26.0,1058,4.733669584011662,0.0044741678487822,5621.0,16,351.3125,0.0044741678487822
2008,PIT,16,347.0,21.6875,1031,-33.08415240977851,-0.0320893815807745,5005.0,16,312.8125,-0.0320893815807745
2008,SEA,16,294.0,18.375,948,-55.52992728617775,-0.0585758726647444,4388.0,16,274.25,-0.0585758726647444
2008,SF,16,339.0,21.1875,990,-55.12107537602017,-0.0556778539151718,4991.0,16,311.9375,-0.0556778539151718
2008,TB,16,361.0,22.5625,1068,-35.30423364145128,-0.0330563985406847,5468.0,16,341.75,-0.0330563985406847
2008,TEN,16,375.0,23.4375,988,-1.868015962916144,-0.001890704415907,5041.0,16,315.0625,-0.001890704415907
2008,WAS,16,265.0,16.5625,1052,-35.35169516963029,-0.0336042729749337,5135.0,16,320.9375,-0.0336042729749337
2009,ARI,16,375.0,23.4375,1000,-25.56357725246549,-0.0255635772524654,5527.0,16,345.4375,-0.0255635772524654
2009,ATL,16,363.0,22.6875,1069,42.548477417769625,0.0398021304188677,5462.0,16,341.375,0.0398021304188677
2009,BAL,16,391.0,24.4375,1044,60.4751242798664,0.0579263642527455,5627.0,16,351.6875,0.0579263642527455
2009,BUF,16,258.0,16.125,940,-118.5386022457178,-0.1261048960060827,4390.0,16,274.375,-0.1261048960060827
2009,CAR,16,315.0,19.6875,1033,-58.14293831187436,-0.0562855162748057,5315.0,16,332.1875,-0.0562855162748057
2009,CHI,16,327.0,20.4375,993,-86.17622311434283,-0.086783709077888,4978.0,16,311.125,-0.086783709077888
2009,CIN,16,305.0,19.0625,1044,-19.263750353496164,-0.0184518681546898,4961.0,16,310.0625,-0.0184518681546898
2009,CLE,16,245.0,15.3125,989,-165.42905726677196,-0.1672690164476966,4170.0,16,260.625,-0.1672690164476966
2009,DAL,16,361.0,22.5625,1046,93.5010581390596,0.089389156920707,6408.0,16,400.5,0.089389156920707
2009,DEN,16,326.0,20.375,1063,-29.904234368013704,-0.0281319232060335,5472.0,16,342.0,-0.0281319232060335
2009,DET,16,262.0,16.375,1061,-179.64190564517585,-0.1693137659238226,4790.0,16,299.375,-0.1693137659238226
2009,GB,16,461.0,28.8125,1071,133.08663721384312,0.1242639002930374,6091.0,16,380.6875,0.1242639002930374
2009,HOU,16,388.0,24.25,1040,44.397028052372,0.0426894500503576,6149.0,16,384.3125,0.0426894500503576
2009,IND,16,416.0,26.0,1004,125.69764652186238,0.1251968590855203,5826.0,16,364.125,0.1251968590855203
2009,JAX,16,290.0,18.125,1025,8.590321533258575,0.008380801495862,5407.0,16,337.9375,0.008380801495862
2009,KC,16,294.0,18.375,1062,-130.40713664933048,-0.1227939139824204,4837.0,16,302.3125,-0.1227939139824204
2009,LA,16,175.0,10.9375,1031,-214.4615783641488,-0.2080131700913179,4474.0,16,279.625,-0.2080131700913179
2009,LAC,16,454.0,28.375,993,142.64369856783895,0.143649243270734,5773.0,16,360.8125,0.143649243270734
2009,LV,16,197.0,12.3125,973,-187.26207266627688,-0.1924584508389279,4266.0,16,266.625,-0.1924584508389279
2009,MIA,16,360.0,22.5,1113,3.203186976333575,0.0028779757199762,5411.0,16,338.1875,0.0028779757199762
2009,MIN,16,470.0,29.375,1072,90.11239498748895,0.0840600699510158,6094.0,16,380.875,0.0840600699510158
2009,NE,16,427.0,26.6875,1112,130.43170342974952,0.1172946973289114,6380.0,16,398.75,0.1172946973289114
2009,NO,16,510.0,31.875,1052,123.1560544655617,0.1170684928379864,6476.0,16,404.75,0.1170684928379864
2009,NYG,16,402.0,25.125,1049,64.05062200822509,0.0610587435731411,5867.0,16,366.6875,0.0610587435731411
2009,NYJ,16,348.0,21.75,1043,-62.48235620212403,-0.0599063817853538,5160.0,16,322.5,-0.0599063817853538
2009,PHI,16,429.0,26.8125,992,47.20596917901068,0.0475866624788414,5750.0,16,359.375,0.0475866624788414
2009,PIT,16,368.0,23.0,1045,44.53564835351217,0.0426178453143657,5955.0,16,372.1875,0.0426178453143657
2009,SEA,16,280.0,17.5,1075,-116.26856731221449,-0.1081568068020599,5076.0,16,317.25,-0.1081568068020599
2009,SF,16,330.0,20.625,958,-64.331951484289,-0.0671523501923684,4664.0,16,291.5,-0.0671523501923684
2009,TB,16,244.0,15.25,991,-154.11498630182805,-0.1555146178625913,4611.0,16,288.1875,-0.1555146178625913
2009,TEN,16,354.0,22.125,1007,10.10503811987716,0.0100347945579713,5636.0,16,352.25,0.0100347945579713
2009,WAS,16,266.0,16.625,989,-47.19527182466697,-0.0477201939582072,5020.0,16,313.75,-0.0477201939582072
