team,plays,total_epa,mean_epa,total_yards,games_est,season
GB,1020,77.21603206745878,0.07570199222299881,5744.0,16,2010
HOU,1055,113.81183363510878,0.10787851529394198,6195.0,16,2010
IND,1106,104.83271730604267,0.0947854586853912,6107.0,16,2010
JAX,1052,20.431252565685213,0.01942134274304678,5461.0,16,2010
KC,1090,35.167291156357216,0.03226356986821763,5604.0,16,2010
LA,1080,-105.49321189127903,-0.09767889989933244,4818.0,16,2010
LAC,1064,103.57799063934685,0.09734773556329591,6343.0,16,2010
LV,1077,-10.406279214608503,-0.009662283393322658,5691.0,16,2010
MIA,1061,-76.13566715335574,-0.07175840448007138,5188.0,16,2010
MIN,1023,-114.04267702982168,-0.11147866767333497,5049.0,16,2010
NE,1006,190.82628459992046,0.1896881556659249,5841.0,16,2010
NO,1088,42.570766571188464,0.039127542804401165,5972.0,16,2010
NYG,1058,-5.471716823801383,-0.005171755031948377,6107.0,16,2010
NYJ,1110,-19.614056870141262,-0.017670321504631766,5628.0,16,2010
PHI,1060,82.50354250364364,0.07783353066381477,6245.0,16,2010
PIT,1013,37.393952237757915,0.036914069336384914,5537.0,16,2010
SEA,983,-112.70524645261492,-0.1146543707554577,4721.0,16,2010
SF,971,-52.75759918362312,-0.054333263834833286,5019.0,16,2010
TB,980,44.31255802887674,0.0452168959478334,5373.0,16,2010
TEN,941,-16.18389844747304,-0.017198616841097813,4846.0,16,2010
WAS,1035,-81.27908280400727,-0.07853051478648046,5386.0,16,2010
ARI,1017,-79.97598523569003,-0.07863912019241891,5202.0,16,2011
ATL,1100,49.588797456663556,0.04508072496060323,6055.0,16,2011
BAL,1060,44.33693991846144,0.04182730180986928,5442.0,16,2011
BUF,1029,-0.4871175774121488,-0.0004733892880584536,5610.0,16,2011
CAR,1032,105.95209541845487,0.10266675912640977,6250.0,16,2011
CHI,999,-108.78945679689703,-0.10889835515204907,5033.0,16,2011
CIN,1059,-32.400997151994446,-0.030595842447586823,5126.0,16,2011
CLE,1050,-96.73871893073536,-0.092132113267367,4580.0,16,2011
DAL,1032,48.296611072326385,0.046799041736750376,6020.0,16,2011
DEN,1058,-93.43907723362234,-0.08831670816032358,5079.0,16,2011
DET,1115,41.2045439102943,0.036954747901609235,6426.0,16,2011
GB,986,226.01583669441385,0.22922498650549072,6290.0,16,2011
HOU,1064,24.882718417587533,0.023386013550364224,5970.0,16,2011
IND,969,-126.14633542784304,-0.13018197670572038,4596.0,16,2011
JAX,1027,-178.08792481961652,-0.17340596379709494,4164.0,16,2011
KC,1043,-98.58177598941272,-0.09451752252100931,4984.0,16,2011
LA,1047,-188.4568419594453,-0.17999698372439857,4529.0,16,2011
LAC,1079,95.2381346221624,0.088265185006638,6300.0,16,2011
LV,1052,18.15278858529342,0.01725550245750325,6015.0,16,2011
MIA,1012,-34.191758227282875,-0.03378632235897518,5088.0,16,2011
MIN,1032,-55.73278022452013,-0.054004632000503996,5268.0,16,2011
NE,1119,217.56754526105027,0.19443033535393234,6792.0,16,2011
NO,1150,228.33145439727565,0.1985490907802397,7557.0,16,2011
NYG,1055,56.23346620001274,0.05330186369669454,6181.0,16,2011
NYJ,1075,-77.99790781416793,-0.07255619331550506,4996.0,16,2011
PHI,1053,56.282367964221606,0.05344954222623134,6399.0,16,2011
PIT,1044,56.99636725617652,0.054594221509747624,5970.0,16,2011
SEA,1032,-72.10409025318941,-0.06986830450890447,4871.0,16,2011
SF,1005,-8.1778033349978,-0.008137117746266466,5001.0,16,2011
TB,1002,-109.02793515372156,-0.10881031452467221,5116.0,16,2011
TEN,1006,-46.176468088259426,-0.04590106171795172,5321.0,16,2011
WAS,1065,-61.55123525515798,-0.05779458709404505,5379.0,16,2011
ARI,1050,-271.70155567628296,-0.2587633863583647,4212.0,16,2012
ATL,1048,92.90665532626154,0.08865138867009689,5920.0,16,2012
BAL,1079,28.299668857998466,0.026227681981462896,5652.0,16,2012
BUF,1001,-7.518983378039767,-0.007511471906133633,5494.0,16,2012
CAR,1018,82.96715959524835,0.08150015677332843,5783.0,16,2012
CHI,1029,-41.90808794202754,-0.04072700480274785,4989.0,16,2012
CIN,1038,-2.0143382308226063,-0.0019405955980949965,5340.0,16,2012
CLE,1023,-70.25970550311877,-0.06868006403041912,5035.0,16,2012
DAL,1084,49.15312413143588,0.045344210453354135,6022.0,16,2012
DEN,1116,125.64340813643459,0.1125836990469844,6401.0,16,2012
DET,1190,-3.9162727982997474,-0.0032909855447897035,6546.0,16,2012
GB,1086,109.26341698732654,0.10061088120379975,5773.0,16,2012
HOU,1108,76.29827364299759,0.06886125780053934,5974.0,16,2012
IND,1142,39.58054860522454,0.03465897426026668,5816.0,16,2012
JAX,1054,-121.40781279782621,-0.11518767817630571,4799.0,16,2012
KC,1040,-137.64357087763764,-0.1323495873823439,5113.0,16,2012
LA,1029,-37.13079458698001,-0.036084348481030135,5286.0,16,2012
LAC,1017,-44.122766757602676,-0.043385218050740096,4765.0,16,2012
LV,1075,-64.8458753760132,-0.06032174453582623,5511.0,16,2012
MIA,1016,-47.55220379000335,-0.04680335018701117,5005.0,16,2012
MIN,1020,12.88993163953379,0.012637187881895873,5408.0,16,2012
NE,1229,215.06862279205225,0.1749948110594404,6855.0,16,2012
NO,1091,102.92818233216624,0.09434297189016154,6589.0,16,2012
NYG,1007,87.95833831145869,0.08734690994186563,5703.0,16,2012
NYJ,1071,-109.14565440719437,-0.10191004146330007,4792.0,16,2012
PHI,1116,-84.12400917725283,-0.07537993653875702,5672.0,16,2012
PIT,1054,-7.351757154546704,-0.006975101664655317,5337.0,16,2012
SEA,1006,109.55530368004575,0.10890189232608921,5627.0,16,2012
SF,991,104.36947187380625,0.10531732782422426,5808.0,16,2012
TB,1039,16.661217236858022,0.016035820247216576,5846.0,16,2012
TEN,989,-91.3400310302774,-0.09235594644112984,5020.0,16,2012
WAS,1021,140.32669318829488,0.13744044386708607,6144.0,16,2012
ARI,1063,-22.951044595525023,-0.02159082276154753,5564.0,16,2013
ATL,1071,8.428875600532155,0.007870098599936653,5508.0,16,2013
BAL,1127,-105.17466270333566,-0.09332268207926855,4931.0,16,2013
BUF,1143,-84.69357861975095,-0.07409761908989584,5445.0,16,2013
CAR,1011,50.50420904910061,0.049954707269140065,5086.0,16,2013
CHI,1044,84.27957906621141,0.08072756615537492,6128.0,16,2013
CIN,1112,33.05076515068453,0.029721911106730694,5906.0,16,2013
CLE,1103,-82.2333692983075,-0.07455427860227334,5436.0,16,2013
DAL,987,59.05821243944956,0.059836081498935725,5469.0,16,2013
DEN,1183,241.5023759228532,0.20414402022219205,7341.0,16,2013
DET,1122,-5.363508654979654,-0.00478031074418864,6293.0,16,2013
GB,1106,75.83515034234802,0.06856704370917542,6419.0,16,2013
HOU,1118,-121.33366399795621,-0.10852742754736691,5559.0,16,2013
IND,1055,51.78983888096939,0.049089894673904635,5491.0,16,2013
JAX,1059,-166.80451069998452,-0.15751134154861615,4704.0,16,2013
KC,1056,23.9132022636112,0.02264507790114697,5412.0,16,2013
LA,992,-61.280918910805106,-0.06177511986976321,4897.0,16,2013
LAC,1106,156.41355124899036,0.14142274073145603,6299.0,16,2013
LV,1030,-58.44822937730787,-0.05674585376437657,5348.0,16,2013
MIA,1016,-41.543827633334814,-0.04088959412729805,5014.0,16,2013
MIN,1033,-18.6282215636178,-0.018033128328768442,5516.0,16,2013
NE,1176,73.31365754092295,0.0623415455279957,6175.0,16,2013
NO,1103,125.31604396461829,0.11361382045749618,6414.0,16,2013
NYG,1019,-143.4218079837446,-0.14074760351692306,4932.0,16,2013
NYJ,1043,-109.16340584334316,-0.10466290109620628,5096.0,16,2013
PHI,1084,106.17184849818796,0.09794450968467523,6702.0,16,2013
PIT,1037,-1.379516794954987,-0.0013302958485583289,5414.0,16,2013
SEA,994,57.6466448800586,0.05799461255539095,5446.0,16,2013
SF,975,33.18628021651193,0.03403721047847378,5195.0,16,2013
TB,1031,-91.44588605961083,-0.08869630073677093,4465.0,16,2013
TEN,1063,21.587572856459442,0.020308158848974075,5402.0,16,2013
WAS,1140,-66.3259212515831,-0.05818063267682728,5922.0,16,2013
ARI,1042,-25.580775903645055,-0.024549688967029804,5138.0,16,2014
