coach_name,position,n_distinct_players,n_ever_superstar,superstar_player_rate,league_base_rate,p_value
Greg Knapp,TE,12,0,0.0,0.11368015414258188,0.37714141275115465
Bob Bratkowski,TE,12,0,0.0,0.11368015414258188,0.37714141275115465
Kevin Gilbride,TE,12,0,0.0,0.11368015414258188,0.37714141275115465
Joe Lombardi,TE,13,0,0.0,0.11368015414258188,0.37929091972925666
Clyde Christensen,RB,12,0,0.0,0.12995896032831739,0.3819128673811397
Bill Lazor,WR,20,0,0.0,0.07049345417925479,0.3901334834737808
Scott Turner,WR,20,0,0.0,0.07049345417925479,0.3901334834737808
Matt Cavanaugh,WR,19,0,0.0,0.07049345417925479,0.39051303971487594
Bruce Arians,WR,21,0,0.0,0.07049345417925479,0.3916067709722986
Cam Cameron,WR,21,0,0.0,0.07049345417925479,0.3916067709722986
Mike Martz,WR,21,0,0.0,0.07049345417925479,0.3916067709722986
Joe Lombardi,WR,21,0,0.0,0.07049345417925479,0.3916067709722986
Tim Kelly,RB,13,0,0.0,0.12995896032831739,0.3935529667427007
Jim Bob Cooter,WR,22,0,0.0,0.07049345417925479,0.39476699417764083
Jim Bob Cooter,TE,15,0,0.0,0.11368015414258188,0.39659462392011485
Alex Van Pelt,WR,23,0,0.0,0.07049345417925479,0.39945588613995997
Darrell Bevell,RB,30,2,0.06666666666666667,0.12995896032831739,0.4101440236315114
Todd Haley,WR,27,3,0.1111111111111111,0.07049345417925479,0.43060735854049315
Don Breaux,WR,8,1,0.125,0.07049345417925479,0.4439856401133209
Doug Marrone,WR,8,1,0.125,0.07049345417925479,0.4439856401133209
Steve Sarkisian,WR,8,1,0.125,0.07049345417925479,0.4439856401133209
Wes Phillips,WR,8,1,0.125,0.07049345417925479,0.4439856401133209
Bill Callahan,WR,9,1,0.1111111111111111,0.07049345417925479,0.4834993509682117
